iteration,valid_candidates,total_candidates,critic_best_distance,selected_candidate,selected_valid,working_distance,working_gap_percent,observed_oracle_best_so_far,working_regret,selection_regret,api_calls,total_tokens,active_seconds,wait_seconds,total_seconds,output_failures,provider_failures
1,0,3,,3,False,652.0,53.051643192488264,652.0,0.0,,17,95139,58.06104690069333,109.93093400076032,167.99198090145364,2,0
2,0,3,,3,False,652.0,53.051643192488264,652.0,0.0,,20,118903,139.97139019938186,101.32791020162404,241.2993004010059,5,0
3,0,3,,3,False,652.0,53.051643192488264,652.0,0.0,,17,95660,71.4175782026723,96.04086169693619,167.4584398996085,2,0
4,0,3,,3,False,652.0,53.051643192488264,652.0,0.0,,17,96404,74.0118437986821,87.69410649873316,161.70595029741526,3,0
5,0,3,,3,False,652.0,53.051643192488264,652.0,0.0,,15,82423,56.936517199501395,90.63104170188308,147.56755890138447,0,0
6,0,3,,3,False,596.0,39.906103286384976,596.0,0.0,,18,99352,74.20837159641087,112.42913260217756,186.63750419858843,0,0
7,0,3,,3,False,596.0,39.906103286384976,596.0,0.0,,15,82214,41.455844001844525,99.30962790269405,140.76547190453857,0,0
8,0,3,,3,False,596.0,39.906103286384976,596.0,0.0,,16,90432,69.25119890086353,89.28405260387808,158.5352515047416,1,0
9,0,3,,3,False,589.0,38.26291079812207,589.0,0.0,,15,82684,49.585682798177004,95.60475359950215,145.19043639767915,0,0
10,0,3,,3,False,589.0,38.26291079812207,589.0,0.0,,15,83952,63.23211420048028,83.11917730048299,146.35129150096327,0,0
