iteration,valid_candidates,total_candidates,critic_best_distance,selected_candidate,selected_valid,working_distance,working_gap_percent,observed_oracle_best_so_far,working_regret,selection_regret,api_calls,total_tokens,active_seconds,wait_seconds,total_seconds,output_failures,provider_failures
1,0,3,,1,False,586.0,37.558685446009385,586.0,0.0,,7,37865,24.86002479912713,73.8418679991737,98.70189279830083,0,0
2,0,3,,1,False,586.0,37.558685446009385,586.0,0.0,,15,82045,56.879335100296885,152.5642057992518,209.44354089954868,0,0
3,0,3,,1,False,568.0,33.33333333333333,568.0,0.0,,12,66271,43.101615199353546,128.54468290042132,171.64629809977487,0,0
4,0,3,,1,False,568.0,33.33333333333333,568.0,0.0,,15,82237,58.50321400118992,177.08108280040324,235.58429680159315,0,0
5,0,3,,1,False,591.0,38.732394366197184,568.0,23.0,,10,53812,37.40691769961268,118.18090189993382,155.5878195995465,0,0
6,0,3,,1,False,592.0,38.967136150234744,568.0,24.0,,13,69643,48.94050980126485,137.34487600065768,186.28538580192253,0,0
7,0,3,,1,False,597.0,40.140845070422536,568.0,29.0,,7,37903,25.58750810008496,73.32498439960182,98.91249249968678,0,0
8,0,3,,1,False,603.0,41.54929577464789,568.0,35.0,,13,69674,47.959511800669134,138.1468886001967,186.10640040086582,0,0
9,0,3,,1,False,592.0,38.967136150234744,568.0,24.0,,8,44178,30.454451699741185,78.99341570027173,109.44786740001291,0,0
10,0,3,,1,False,603.0,41.54929577464789,568.0,35.0,,7,37957,25.80904149916023,100.66518819984049,126.47422969900072,0,0
