iteration,valid_candidates,total_candidates,critic_best_distance,selected_candidate,selected_valid,working_distance,working_gap_percent,observed_oracle_best_so_far,working_regret,selection_regret,api_calls,total_tokens,active_seconds,wait_seconds,total_seconds,output_failures,provider_failures
1,0,3,,2,False,694.0,62.91079812206573,598.0,96.0,,10,53563,30.652029300574213,0.0,30.652029300574213,0,0
2,0,3,,3,False,610.0,43.1924882629108,598.0,12.0,,8,44026,23.41964399954304,20.91526269959286,44.3349066991359,0,1
3,0,3,,1,False,647.0,51.87793427230047,598.0,49.0,,7,37782,18.900934498757124,49.91280349949375,68.81373799825087,0,0
4,0,3,,3,False,647.0,51.87793427230047,598.0,49.0,,15,81736,43.19350010016933,104.74689470045269,147.94039480062202,0,0
5,0,3,,1,False,647.0,51.87793427230047,598.0,49.0,,15,81693,36.55392589978874,102.32849399838597,138.8824198981747,0,0
6,0,3,,1,False,647.0,51.87793427230047,598.0,49.0,,15,81694,39.29868489969522,105.9212966999039,145.21998159959912,0,0
7,0,3,,2,False,647.0,51.87793427230047,598.0,49.0,,15,81698,37.347504399716854,107.87356770224869,145.22107210196555,0,0
8,0,3,,1,False,577.0,35.44600938967136,577.0,0.0,,13,69230,31.997605299577117,94.31367119960487,126.31127649918199,0,0
9,0,3,,1,False,577.0,35.44600938967136,577.0,0.0,,15,81737,35.43360420037061,110.38630269933492,145.81990689970553,0,0
10,0,3,,3,False,577.0,35.44600938967136,577.0,0.0,,15,81750,37.04268159903586,111.28605300094932,148.32873459998518,0,0
