iteration,valid_candidates,total_candidates,critic_best_distance,selected_candidate,selected_valid,working_distance,working_gap_percent,observed_oracle_best_so_far,working_regret,selection_regret,api_calls,total_tokens,active_seconds,wait_seconds,total_seconds,output_failures,provider_failures
1,0,3,,3,False,616.0,44.60093896713615,616.0,0.0,,5,28863,15.267790399491787,33.94277500035241,49.2105653998442,0,0
2,0,3,,3,False,658.0,54.460093896713616,616.0,42.0,,8,43044,34.848700599744916,44.63857119996101,79.48727179970592,2,0
3,0,3,,3,False,664.0,55.86854460093896,616.0,48.0,,7,39040,25.727546399459243,43.66818910045549,69.39573549991474,1,0
4,1,3,585.0,3,False,607.0,42.48826291079813,585.0,22.0,,16,82630,55.74712110031396,99.62548889918253,155.3726099994965,3,0
5,0,3,,3,False,625.0,46.71361502347418,585.0,40.0,,8,43019,30.787617400288582,48.05922029912472,78.8468376994133,1,0
6,1,3,702.0,3,True,702.0,64.7887323943662,585.0,117.0,0.0,5,26198,16.89863479975611,32.2174692992121,49.11610409896821,1,0
7,0,3,,3,False,551.0,29.342723004694836,551.0,0.0,,6,35293,18.754706599749625,41.13013859977946,59.88484519952908,0,0
8,0,3,,3,False,634.0,48.82629107981221,551.0,83.0,,8,45197,26.562516099773347,50.987785899546,77.55030199931934,0,0
9,1,3,607.0,3,False,572.0,34.27230046948357,551.0,21.0,,10,55204,32.55093800043687,64.78529920056462,97.3362372010015,1,0
10,0,3,,3,False,678.0,59.154929577464785,551.0,127.0,,10,58518,37.43207629956305,61.284965799190104,98.71704209875315,2,1
