iteration,valid_candidates,total_candidates,critic_best_distance,selected_candidate,selected_valid,working_distance,working_gap_percent,observed_oracle_best_so_far,working_regret,selection_regret,api_calls,total_tokens,active_seconds,wait_seconds,total_seconds,output_failures,provider_failures
1,1,3,609.0,2,True,609.0,42.95774647887324,584.0,25.0,0.0,4,22437,13.75022009992972,26.324613200034946,40.074833299964666,0,0
2,0,3,,1,False,550.0,29.107981220657276,550.0,0.0,,10,54950,36.55850580101833,150.72389969881624,187.28240549983457,0,0
3,3,3,534.0,1,True,534.0,25.352112676056336,534.0,0.0,0.0,4,22449,14.56724450038746,56.20907779969275,70.77632230008021,0,0
4,0,3,,1,False,651.0,52.816901408450704,534.0,117.0,,5,28830,18.121122600510716,119.84032069938257,137.9614432998933,0,0
5,1,3,545.0,1,False,567.0,33.098591549295776,534.0,33.0,,6,35280,21.95099819963798,98.01327889971435,119.96427709935233,0,0
6,0,3,,1,False,609.0,42.95774647887324,534.0,75.0,,13,71282,50.25419170130044,136.9274456994608,187.18163740076125,0,0
7,0,3,,1,False,666.0,56.33802816901409,534.0,132.0,,5,28837,17.666141800116748,62.80028219940141,80.46642399951816,0,0
8,2,3,518.0,1,False,627.0,47.183098591549296,518.0,109.0,,5,28846,18.692780199460685,60.27243639994413,78.96521659940481,0,0
9,0,3,,1,False,627.0,47.183098591549296,518.0,109.0,,15,84147,56.19450480118394,151.55939649930224,207.75390130048618,0,0
10,0,3,,1,False,627.0,47.183098591549296,518.0,109.0,,15,84165,59.62070529861376,171.327237599995,230.94794289860874,0,0
