iteration,valid_candidates,total_candidates,critic_best_distance,selected_candidate,selected_valid,working_distance,working_gap_percent,observed_oracle_best_so_far,working_regret,selection_regret,api_calls,total_tokens,active_seconds,wait_seconds,total_seconds,output_failures,provider_failures
1,0,3,,2,False,629.0,47.652582159624416,628.0,1.0,,14,74661,31.94117709994316,105.99556419812143,137.9367412980646,1,0
2,1,3,661.0,1,True,661.0,55.16431924882629,628.0,33.0,0.0,4,22459,9.077020498923957,30.80631549935788,39.88333599828184,0,0
3,0,3,,3,False,582.0,36.61971830985916,582.0,0.0,,5,28800,11.447172300890088,37.91195150092244,49.35912380181253,0,0
4,0,3,,3,False,655.0,53.755868544600936,582.0,73.0,,12,64614,26.23513599857688,93.10922020021826,119.34435619879514,1,0
5,0,3,,3,False,670.0,57.27699530516433,582.0,88.0,,11,58425,26.868884900584817,81.28780319914222,108.15668809972703,2,0
6,0,3,,2,False,1308.0,207.04225352112675,582.0,726.0,,8,42117,18.528375398367643,59.493892500177026,78.02226789854467,1,0
7,0,3,,3,False,620.0,45.539906103286384,582.0,38.0,,5,28809,12.362028298899531,37.42957499995828,49.79160329885781,0,0
8,0,3,,1,False,659.0,54.694835680751176,582.0,77.0,,8,45093,18.906004199758172,60.33700800035149,79.24301220010966,0,0
9,0,3,,3,False,1308.0,207.04225352112675,582.0,726.0,,8,42039,17.53409819956869,60.377670901827514,77.9117691013962,1,0
10,0,3,,1,False,602.0,41.31455399061033,582.0,20.0,,14,74632,37.90189120080322,101.34075040090829,139.2426416017115,2,0
